experiment_group,experiment_id,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,recorder_config,target,flow,required_for_top_conference,expected_output,status,notes
Runtime overhead,full_runtime,sensor_threshold_bug,failing,2,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,2,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,2,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,2,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,2,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,2,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,2,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,2,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,2,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,2,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,2,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,2,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,2,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,2,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,3,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,3,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,3,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,3,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,3,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,3,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,3,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,3,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,3,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,3,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,3,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,3,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,3,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,3,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,3,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,4,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,4,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,4,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,4,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,4,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,4,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,4,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,4,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,4,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,4,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,4,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,4,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,4,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,4,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,4,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,5,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,5,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,5,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,5,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,5,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,5,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,5,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,5,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,5,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,5,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,5,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,5,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,failing,5,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,failing,5,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,failing,5,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,1,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,1,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,1,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,1,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,1,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,1,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,1,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,1,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,1,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,2,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,2,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,2,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,2,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,2,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,2,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,2,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,2,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,2,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,2,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,2,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,2,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,2,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,2,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,2,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,3,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,3,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,3,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,3,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,3,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,3,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,3,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,3,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,3,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,3,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,3,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,3,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,3,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,3,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,3,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,4,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,4,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,4,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,4,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,4,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,4,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,4,medium,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,4,medium,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,4,medium,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,4,long,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,4,long,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,4,long,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,4,stress,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,4,stress,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,4,stress,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,5,smoke,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,5,smoke,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,5,smoke,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
Replay correctness,full_replay,sensor_threshold_bug,fixed,5,short,NA,NA,NA,NA,NA,yes,results/processed/workload_scaling.csv,DEFINED,full
Runtime overhead,full_runtime,sensor_threshold_bug,fixed,5,short,NA,NA,NA,NA,NA,yes,results/processed/runtime_scaling.csv,DEFINED,full
Capsule-size baseline comparison,full_capsule_baseline,sensor_threshold_bug,fixed,5,short,NA,NA,NA,NA,NA,yes,results/processed/capsule_baseline_comparison.csv,DEFINED,full
