benchmark,variant,seed,workload_scale,buffer_depth,measured_buffer_depth,events,capsule_bytes,overflow,replay_available,replay_status,cycles_to_failure,commits_to_failure,notes
sensor_threshold_bug,failing,3,smoke,64,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,3,smoke,128,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,3,smoke,256,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,3,smoke,512,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,3,smoke,1024,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,3,smoke,2048,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,3,smoke,4096,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,3,smoke,8192,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,3,smoke,16384,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,4,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,8,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,16,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,32,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,64,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,128,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,256,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,512,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,1024,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,2048,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,4096,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,8192,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,4,smoke,16384,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,4,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,8,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,16,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,32,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,64,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,128,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,256,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,512,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,1024,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,2048,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,5,smoke,4096,256,1,8.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
