architecture,recorder_config,benchmark,variant,seed,workload_scale,buffer_depth,measured_or_estimated,events,capsule_bytes,overflow,replay_status,notes
v2,core,stack_corruption_bug,fixed,3,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,4,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,5,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,1,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,2,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,3,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,4,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,5,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,1,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,2,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,3,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,4,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,5,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,1,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,2,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,3,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,4,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,stack_corruption_bug,fixed,5,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,1,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,2,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,3,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,4,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,5,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,1,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,2,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,3,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,4,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,5,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,1,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,2,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,3,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,4,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,5,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,1,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,2,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,3,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,4,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,5,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,1,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,2,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,3,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,4,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,failing,5,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,1,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,2,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,3,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,4,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,5,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,1,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,2,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,3,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,4,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,5,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,1,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,2,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,3,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,4,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,5,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,1,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,2,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,3,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,4,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,5,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,1,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,2,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,3,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,4,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,fixed,5,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,1,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,2,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,3,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,4,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,5,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,1,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,2,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,3,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,4,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,5,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,1,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,2,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,3,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,4,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,5,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,1,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,2,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,3,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,4,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,5,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,1,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,2,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,3,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,4,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,uart_command_bug,no_failure_edge,5,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,1,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,2,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,3,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,4,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,5,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,1,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,2,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,3,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,4,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,5,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,1,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,2,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,3,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,4,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,5,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,1,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,2,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,3,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,4,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,5,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,1,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,2,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,3,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,4,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,failing,5,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,1,smoke,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,2,smoke,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,3,smoke,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,4,smoke,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,5,smoke,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,1,short,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,2,short,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,3,short,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,4,short,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,5,short,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,1,medium,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,2,medium,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,3,medium,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,4,medium,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,5,medium,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,1,long,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,2,long,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,3,long,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,4,long,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,5,long,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,1,stress,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,2,stress,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,3,stress,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,4,stress,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,fixed,5,stress,2048,MEASURED,8,64,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,1,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,2,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,3,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,4,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,5,smoke,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,1,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,2,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,3,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,4,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,5,short,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,1,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,2,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,3,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,4,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,5,medium,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,1,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,2,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,3,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,4,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,5,long,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,1,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,2,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,3,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,4,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,core,watchdog_timeout_bug,no_failure_edge,5,stress,2048,MEASURED,2,16,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,1,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,2,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,3,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,4,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,5,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,1,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,2,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,3,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,4,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,5,short,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,1,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,2,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,3,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,4,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,5,medium,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,1,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,2,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,3,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,4,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,5,long,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,1,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,2,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,3,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,4,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,failing,5,stress,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,1,smoke,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,2,smoke,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,3,smoke,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,4,smoke,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,5,smoke,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,1,short,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,2,short,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,3,short,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,4,short,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,5,short,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,1,medium,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,2,medium,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,3,medium,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,4,medium,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,5,medium,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,1,long,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,2,long,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,3,long,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,4,long,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,5,long,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,1,stress,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,2,stress,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,3,stress,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,4,stress,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,fixed,5,stress,2048,MEASURED,3,24,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,no_failure_edge,1,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
v2,hashed,sensor_threshold_bug,no_failure_edge,2,smoke,2048,MEASURED,1,8,false,PASS,measured with current full-core simulator buffer depth 2048
